City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
177,Agirish,RU,61.9247,63.0231,64.62,48,84,0.76,broken clouds
178,Warragul,AU,-38.1667,145.9333,50.11,87,84,7.0,broken clouds
179,Katobu,ID,-4.9408,122.5276,81.3,73,82,6.8,broken clouds
180,Ode,NG,7.7899,5.7117,66.9,97,89,5.14,overcast clouds
181,Chuy,UY,-33.6971,-53.4616,42.69,86,53,7.9,broken clouds
182,Lagoa,PT,39.05,-27.9833,70.03,94,0,9.6,clear sky
183,Saskylakh,RU,71.9167,114.0833,53.26,40,100,10.8,overcast clouds
184,Faanui,PF,-16.4833,-151.75,76.75,72,68,15.1,light rain
185,Palmer,US,42.1584,-72.3287,75.61,77,100,4.38,overcast clouds
186,Mont-Dore,NC,-22.2833,166.5833,84.18,99,44,5.5,scattered clouds
187,Nishihara,JP,26.1842,127.7558,86.05,86,100,16.11,overcast clouds
188,Talkha,EG,31.0539,31.3779,71.08,89,0,3.89,clear sky
189,Vao,NC,-22.6667,167.4833,72.54,78,46,16.44,scattered clouds
190,Fortuna,US,40.5982,-124.1573,64.9,69,1,3.0,clear sky
191,Rundu,NA,-17.9333,19.7667,45.95,53,0,5.57,clear sky
192,Karacabey,TR,40.2152,28.4038,71.98,90,0,4.97,clear sky
193,Vila Do Maio,CV,15.1333,-23.2167,75.99,79,51,20.38,broken clouds
194,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,82,0,6.91,clear sky
195,Eirunepe,BR,-6.6603,-69.8736,78.24,75,75,2.57,broken clouds
196,Mokhsogollokh,RU,61.4681,128.9203,87.84,37,6,6.24,clear sky
197,Tura,IN,25.5198,90.2201,81.05,78,8,5.61,clear sky
198,Alofi,NU,-19.0595,-169.9187,78.69,78,24,19.57,few clouds
199,Antofagasta,CL,-23.65,-70.4,56.48,75,7,5.7,clear sky
200,Fort-Shevchenko,KZ,44.5086,50.263,82.17,52,0,7.4,clear sky
201,Miandrivazo,MG,-19.5167,45.4667,63.45,53,0,4.05,clear sky
202,Longyearbyen,SJ,78.2186,15.6401,58.84,67,75,19.57,broken clouds
203,La Chaux-De-Fonds,CH,47.0999,6.8259,58.46,71,10,1.14,clear sky
204,Chapais,CA,49.7834,-74.8492,67.78,63,58,5.19,broken clouds
205,Talnakh,RU,69.4865,88.3972,56.21,55,100,1.1,overcast clouds
206,Flin Flon,CA,54.7682,-101.865,73.69,50,99,4.88,overcast clouds
207,Dunedin,NZ,-45.8742,170.5036,57.04,64,100,8.66,overcast clouds
208,Kutum,SD,14.2,24.6667,75.99,61,89,10.25,overcast clouds
209,Tiksi,RU,71.6872,128.8694,40.28,67,100,6.2,overcast clouds
210,Panguna,PG,-6.3164,155.4848,82.83,50,16,4.32,few clouds
211,Hawera,NZ,-39.5917,174.2833,56.23,84,66,13.42,broken clouds
212,Brewster,US,41.3973,-73.6171,77.32,85,0,3.44,clear sky
213,Jega,NG,12.2175,4.3792,77.11,82,100,8.43,light rain
