City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
206,Flin Flon,CA,73.69,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
208,Kutum,SD,75.99,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
212,Brewster,US,77.32,clear sky,41.3973,-73.6171,Heidi's Inn
213,Jega,NG,77.11,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
218,Chabahar,IR,86.54,overcast clouds,25.2919,60.643,هتل گدروشیا
221,Hamilton,US,74.75,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
222,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
224,Moralillo,MX,84.43,scattered clouds,22.2167,-97.9,Hotel San Antonio
226,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
227,Nisia Floresta,BR,73.78,few clouds,-6.0911,-35.2086,Rancho Crepusculo
228,Khilok,RU,76.6,clear sky,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
229,Los Banos,PH,81.79,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
230,Iwaki,JP,89.02,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
232,Soledad,CO,80.73,broken clouds,10.9184,-74.7646,Hospedaje descanso
233,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
237,Pedernales,DO,81.0,clear sky,18.0384,-71.744,Hotel Costa Marina
238,Auki,SB,86.68,clear sky,-8.7676,160.7034,Auki Motel
239,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
241,Sol-Iletsk,RU,73.6,clear sky,51.1631,54.9918,Raduzhnaya
246,Bandarbeyla,SO,78.84,overcast clouds,9.4942,50.8122,JABIR HOTEL
250,Tarrafal,CV,75.99,broken clouds,15.2833,-23.7667,Hotel Ixola
252,Kendari,ID,78.35,overcast clouds,-3.945,122.4989,Hotel Wixel
253,Najran,SA,81.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
255,Tuscaloosa,US,87.58,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
256,Katsuura,JP,81.32,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
258,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
259,Lorengau,PG,84.15,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Waingapu,ID,82.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
265,Banda Aceh,ID,83.32,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
269,Dingle,PH,75.24,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
271,Kijang,KR,73.13,heavy intensity rain,35.2442,129.2139,Samyang Beach Villa
272,Narasannapeta,IN,81.45,heavy intensity rain,18.4167,84.05,AVK events and catering
274,Carutapera,BR,75.56,few clouds,-1.195,-46.02,Lidera
275,San Policarpo,PH,83.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
276,Sioux Lookout,CA,78.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
279,Billings,US,91.17,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
280,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
281,Majene,ID,77.13,light rain,-3.5403,118.9707,Kost Putri RABBANI
285,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
286,Conceicao Do Araguaia,BR,74.46,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
287,San Quintin,MX,70.09,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
288,Byron Bay,AU,71.71,clear sky,-28.65,153.6167,Backpackers Inn
289,Rapid Valley,US,93.4,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
290,Callaway,US,81.95,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
291,Namatanai,PG,85.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
292,Mana,GF,77.97,overcast clouds,5.6592,-53.7767,LE SAMANA
294,Loreto,MX,70.27,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
296,Kalangala,UG,72.75,light rain,-0.3089,32.225,Ssese Habitat Resort
300,Mallasamudram,IN,78.04,overcast clouds,11.4833,78.0333,Suresh Complex & Appartments
301,Atar,MR,91.67,broken clouds,20.5169,-13.0499,Oumou Elghoura
304,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
311,Olive Branch,US,91.08,clear sky,34.9618,-89.8295,"Holiday Inn Express & Suites Olive Branch, an IHG Hotel"
313,Vila Franca Do Campo,PT,74.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
316,Cabo San Lucas,MX,90.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
318,Arlit,NE,89.76,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
320,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
322,Port-Gentil,GA,74.3,scattered clouds,-0.7193,8.7815,Fengshui Residence
323,Sai Buri,TH,81.97,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
324,Chittur,IN,76.55,overcast clouds,10.7,76.75,Cee Dee Regency
326,Bhind,IN,92.21,overcast clouds,26.5642,78.7883,Hotel Kanha Palace and Family Restaurant
328,Niltepec,MX,77.99,overcast clouds,16.5667,-94.6167,Hotel Palma Real
330,Jacareacanga,BR,77.61,clear sky,-6.2222,-57.7528,Casa do Ian😎
331,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Green leaf
332,Koungou,YT,76.71,scattered clouds,-12.7336,45.2042,Villa Netibor
333,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,hotel la terminal
334,Parit Buntar,MY,86.95,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
337,Coahuayana,MX,77.97,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
338,Broome,US,75.58,few clouds,42.2506,-75.833,Chenango Valley State Park
340,Minas De Barroteran,MX,92.53,clear sky,27.6333,-101.2833,Motel Venecia
346,Makat,KZ,88.07,clear sky,47.6469,53.3463,Umit
350,Jiazi,CN,86.02,overcast clouds,22.8779,116.067,Hotel Jin Hao
351,Tahta,EG,80.42,clear sky,26.7693,31.5021,فندق الزيات
352,Maraba,BR,73.58,clear sky,-5.3686,-49.1178,Hotel Del Principe
353,Acarau,BR,78.66,clear sky,-2.8856,-40.12,castelo pizzaria
354,Baker City,US,88.2,clear sky,44.7749,-117.8344,Bridge Street Inn
355,Muscat,OM,86.02,light rain,23.6139,58.5922,Mutrah Hotel
358,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
359,Mangan,IN,78.06,overcast clouds,27.5167,88.5333,Hotel Mout View
361,Madridejos,ES,73.26,clear sky,39.4682,-3.532,CASA RURAL LA ALAMEDA
365,Naraina,IN,86.94,broken clouds,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
369,Rohru,IN,71.01,broken clouds,31.2167,77.75,Circuit House
370,Matagami,CA,75.31,clear sky,49.7502,-77.6328,Motel Le Caribou
371,Corinto,GR,76.89,clear sky,37.9407,22.9573,Ephira Hotel
373,La Ronge,CA,79.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
375,Touros,BR,75.65,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
376,Trogir,HR,78.85,clear sky,43.5125,16.2517,Hotel Medena
377,Zhanakorgan,KZ,85.23,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
378,Saint George,US,87.75,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
379,Hirara,JP,89.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
380,Shirvan,AZ,76.68,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
381,Apatou,GF,74.16,overcast clouds,5.155,-54.3472,Yoto quensha
389,Ilebo,CD,75.63,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
390,Jinchang,CN,75.74,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
394,Sawakin,SD,85.3,overcast clouds,19.1059,37.3321,فندق الدويم
395,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
398,Pierre,US,91.85,clear sky,44.3683,-100.351,Ramkota Hotel
400,Baracoa,CU,80.02,few clouds,20.3467,-74.4958,Hostal Rio Miel
401,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
402,Port Hueneme,US,93.51,few clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
404,Fairmont,US,74.32,light rain,39.4851,-80.1426,Clarion Inn
405,Tomatlan,MX,76.24,overcast clouds,19.9333,-105.25,El Salvial
407,Harper,LR,74.55,broken clouds,4.375,-7.7169,Screensaver
408,Basoko,CD,71.92,light rain,1.2391,23.616,Jackyna Hotel
410,Biak,ID,72.97,moderate rain,-0.9131,122.8766,Penginapan Kim
412,Zabid,YE,84.87,overcast clouds,14.1951,43.3152,مغرب التريبه
413,San Pedro De Macoris,DO,81.21,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
422,Levokumka,RU,70.05,scattered clouds,44.2317,43.15,Euro Hotel
425,Bubaque,GW,80.29,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
426,Petropavlovsk-Kamchatskiy,RU,73.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
428,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Kundiawa,PG,76.32,broken clouds,-6.0167,144.9667,Pari
